id,source_id,authors,title,year,journal,volume_city,issue_state,start_page,end_page,created_at,updated_at
1,D3318,"D.A. Kline","Quantitative determination of sugars in fruits by GLC separation of TMS derivatives",1970,"Journal of AOAC International",53,6,1198,1202,"2014-05-13 11:52:36","2014-05-13 11:52:36"
2,D3326,"C. Martin-Villa","High performance liquid chromatographic determination of carbohydrates in raw and cooked vegetables",1982,"Journal of Food Science",47,,2086,,"2014-05-13 11:52:36","2014-05-13 11:52:36"
3,D3339,"K.W. Swallow, N.H. Low","Analysis And Quantitation Of The Carbohydrates In Honey Using High-Performance Liquid Chromatography.",1990,"Journal of Agricultural and Food Chemistry",38,9,1828,1832,"2014-05-13 11:52:37","2014-05-13 11:52:37"
4,D3357,"V.C. Morris, O.A. Levander","Selenium content of food",1970,"Journal of Nutrition",100,12,1383,1388,"2014-05-13 11:52:37","2014-05-13 11:52:37"
5,D3904,"F Khachik, G R Beecher, W R Lusby","Separation, identification and quantification of the major carotenoids in extracts of apricots, peaches, cantaloupe, and pink grapefruit by liquid chromatography",1989,"J Agric Food Chem",37,,1465,1473,"2014-05-13 11:52:37","2014-05-13 11:52:37"
6,D3907,"C Y Lee, P E McCoon, J H LeBowitz","Vitamin A value of sweet corn",1981,"J Agric Food Chem",29,,1294,1295,"2014-05-13 11:52:37","2014-05-13 11:52:37"
7,D3920,"M. Heinonen, V. Olliloinen, E. Perttivaro, P. Koivistoinen","Carotenoids and retinoids in Finnish Foods: Dietary Fats",1988,"J. Food Composition and Analysis",1,,334,340,"2014-05-13 11:52:37","2014-05-13 11:52:37"
8,D3852,"J Q Wu, D E Carrol","Chemical and physical sensory stabilities of prebaked frozen sweet potatoes.",1991,"J. Food Sci.",56,1,710,713,"2014-05-13 11:52:37","2014-05-13 11:52:37"
9,D3860,"LIgia Almeida-Muradian, Fausto Fiorini, Marilene Penteado","Provitamin A Evaluation of External and Internal Leaves of Cabbage (Brassica oleracea L. var. capitata)",1995,"Ciencia e Tecnologia de Alimentos",15,2,108,111,"2014-05-13 11:52:37","2014-05-13 11:52:37"
10,D3891,"L A Chandler, S J Schwartz","Isomerization and losses of trans-beta-carotene in sweet potatoes as affected by processing treatments",1988,"J Agric Food Chem",36,,129,133,"2014-05-13 11:52:37","2014-05-13 11:52:37"
11,D4043,"E. Jakob, I. Elmadfa","Application of a Simplified HPLC Assay for the Determination of Phylloquinone (Vitamin K) in Animal and Plant Food Items",1996,"Food Chemistry",56,1,87,91,"2014-05-13 11:52:37","2014-05-13 11:52:37"
12,D4052,"T.J. Koivu, V. I. Piironen, S.K. Henttonen, P.H. Mattila","Determination of Phylloquinone in Vegetables, Fruits, and Berries by High-Performance Liquid Chromatography with Electrochemical Detection",1997,"American Chemical Society",,,,,"2014-05-13 11:52:37","2014-05-13 11:52:37"
13,D4069,"S.L. Booth, H.T. Madabushi, KW Davidson, J.A. Sadowski","Tea and Coffee Brews are not Dietary Sources of Vitamin K-1 (Phylloquinone)",1995,"Journal of the American Dietetic Assoc.",95,1,82,83,"2014-05-13 11:52:37","2014-05-13 11:52:37"
14,D4142,"W. R. Mindak, S. P. Dolan","Determination of arsenic and selenium in food using a microwave digestion-dry ash preparation and flow injection hydride generation atomic absorption spectrometry",1999,"Journal of Food Composition and Analysis",12,,111,122,"2014-05-13 11:52:37","2014-05-13 11:52:37"
15,D3309,"M. Horbowicz","Adaptation of the method of sugars determination by gas chromatography (GC) and characteristics of  their occurrence",1980,"Acta Alimentaria Polonica",6,4,227,236,"2014-05-13 11:52:37","2014-05-13 11:52:37"
16,D1417,"O. Longe","Effect of boiling on the carbohydrate constituents of some non-leafy vegetables",1981,"Food Chemistry",7,1,1,6,"2014-05-13 11:52:37","2014-05-13 11:52:37"
17,D5004,"Judy Heilman, Mary Kiritsy, Steven Levy, James Wefel","Assessing Fluoride Levels of Carbonated Soft Drinks",1999,JADA,130,,1593,1599,"2014-05-13 11:52:37","2014-05-13 11:52:37"
18,D5981,"J. W. DeVries, P.M. Keagy, C.A. Hudson, J.I. Rader","AACC collaborative study of a method for determining total folate in cereal products -- microbiological assay using trienzyme extraction (AACC method 86-47)",2001,"Cereal Foods World",46,5,216,219,"2014-05-13 11:52:38","2014-05-13 11:52:38"
19,D4341,"Ira Shannon","Fluoride in Carbonated Soft Drinks",1977,"Texas Dental Journal",95,,6,9,"2014-05-13 11:52:38","2014-05-13 11:52:38"
20,D4722,"H.G. Daood","Antioxidant vitamin content of spice red pepper (paprika) as affected by technological and varietal factors",1996,"Food Chemistry",55,4,365,372,"2014-05-13 11:52:38","2014-05-13 11:52:38"
21,D4801,"P. Perkins-Veazie, J.K. Collins, S.D. Pair, W. Roberts","Lycopene content differs among red-fleshed watermelon cultivars",2001,"Journal of the Science of Food and Agriculture",81,,983,987,"2014-05-13 11:52:38","2014-05-13 11:52:38"
22,D7282,"R. Abdulah, K. Miyazaki, M. Nakazawa, H. Koyama","Low contribution of rice and vegetables to the daily intake of selenium in Japan",2005,"International Journal of Food Science and Nutrition",56,7,463,471,"2014-05-13 11:52:38","2014-05-13 11:52:38"
23,D6343,"S. Ahrens, M. Venkatachalam, A.M. Mistry, K. Lapsley, S.K. Sathe","Almond (Prunus ducis L.) protein quality",2005,"Plant Foods for Human Nutrition",60,,123,128,"2014-05-13 11:52:38","2014-05-13 11:52:38"
24,D1073,"J.P. McBride, R.A. Maclead","Sodium and potassium in fish from the Canadian Pacific coast.",1956,"Journal of the American Dietetic Association",32,,636,638,"2014-05-13 11:52:38","2014-05-13 11:52:38"
