id,ndb_no,food_group_code,long_description,short_description,common_name,company_name,survey,refuse_description,refuce,scientific_name,nitrogen_factor,protein_factor,fat_factor,cho_factor,food_group_id
1,01001,0100,"Butter, salted","BUTTER,WITH SALT",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
2,01002,0100,"Butter, whipped, with salt","BUTTER,WHIPPED,WITH SALT",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
3,01003,0100,"Butter oil, anhydrous","BUTTER OIL,ANHYDROUS",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
4,01004,0100,"Cheese, blue","CHEESE,BLUE",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
5,01005,0100,"Cheese, brick","CHEESE,BRICK",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
6,01006,0100,"Cheese, brie","CHEESE,BRIE",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
7,01007,0100,"Cheese, camembert","CHEESE,CAMEMBERT",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
8,01008,0100,"Cheese, caraway","CHEESE,CARAWAY",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
9,01009,0100,"Cheese, cheddar","CHEESE,CHEDDAR",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
10,01010,0100,"Cheese, cheshire","CHEESE,CHESHIRE",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
11,01011,0100,"Cheese, colby","CHEESE,COLBY",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
12,01012,0100,"Cheese, cottage, creamed, large or small curd","CHEESE,COTTAGE,CRMD,LRG OR SML CURD",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
13,01013,0100,"Cheese, cottage, creamed, with fruit","CHEESE,COTTAGE,CRMD,W/FRUIT",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
14,01014,0100,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd","CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
15,01015,0100,"Cheese, cottage, lowfat, 2% milkfat","CHEESE,COTTAGE,LOWFAT,2% MILKFAT",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
16,01016,0100,"Cheese, cottage, lowfat, 1% milkfat","CHEESE,COTTAGE,LOWFAT,1% MILKFAT",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
17,01017,0100,"Cheese, cream","CHEESE,CREAM",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
18,01018,0100,"Cheese, edam","CHEESE,EDAM",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
19,01019,0100,"Cheese, feta","CHEESE,FETA",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
20,01020,0100,"Cheese, fontina","CHEESE,FONTINA",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
21,01021,0100,"Cheese, gjetost","CHEESE,GJETOST",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
22,01022,0100,"Cheese, gouda","CHEESE,GOUDA",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
23,01023,0100,"Cheese, gruyere","CHEESE,GRUYERE",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
24,01024,0100,"Cheese, limburger","CHEESE,LIMBURGER",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
25,01025,0100,"Cheese, monterey","CHEESE,MONTEREY",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
26,01026,0100,"Cheese, mozzarella, whole milk","CHEESE,MOZZARELLA,WHL MILK",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
27,01027,0100,"Cheese, mozzarella, whole milk, low moisture","CHEESE,MOZZARELLA,WHL MILK,LO MOIST",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
28,01028,0100,"Cheese, mozzarella, part skim milk","CHEESE,MOZZARELLA,PART SKIM MILK",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
29,01029,0100,"Cheese, mozzarella, part skim milk, low moisture","CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
30,01030,0100,"Cheese, muenster","CHEESE,MUENSTER",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
31,01031,0100,"Cheese, neufchatel","CHEESE,NEUFCHATEL",NULL,NULL,NULL,NULL,0,NULL,6.38,4.27,8.79,3.87,1
32,01032,0100,"Cheese, parmesan, grated","CHEESE,PARMESAN,GRATED",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
33,01033,0100,"Cheese, parmesan, hard","CHEESE,PARMESAN,HARD",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
34,01034,0100,"Cheese, port de salut","CHEESE,PORT DE SALUT",NULL,NULL,Y,NULL,0,NULL,6.38,4.27,8.79,3.87,1
