id,nutrient_no,units,tag_name,descritpion,decimal_places,sr_order,created_at,updated_at
1,203,g,PROCNT,Protein,2,600,"2014-05-13 11:35:44","2014-05-13 11:35:44"
2,204,g,FAT,"Total lipid (fat)",2,800,"2014-05-13 11:35:44","2014-05-13 11:35:44"
3,205,g,CHOCDF,"Carbohydrate, by difference",2,1100,"2014-05-13 11:35:44","2014-05-13 11:35:44"
4,207,g,ASH,Ash,2,1000,"2014-05-13 11:35:44","2014-05-13 11:35:44"
5,208,kcal,ENERC_KCAL,Energy,0,300,"2014-05-13 11:35:44","2014-05-13 11:35:44"
6,209,g,STARCH,Starch,2,2200,"2014-05-13 11:35:44","2014-05-13 11:35:44"
7,210,g,SUCS,Sucrose,2,1600,"2014-05-13 11:35:44","2014-05-13 11:35:44"
8,211,g,GLUS,"Glucose (dextrose)",2,1700,"2014-05-13 11:35:44","2014-05-13 11:35:44"
9,212,g,FRUS,Fructose,2,1800,"2014-05-13 11:35:44","2014-05-13 11:35:44"
10,213,g,LACS,Lactose,2,1900,"2014-05-13 11:35:44","2014-05-13 11:35:44"
11,214,g,MALS,Maltose,2,2000,"2014-05-13 11:35:45","2014-05-13 11:35:45"
12,221,g,ALC,"Alcohol, ethyl",1,18200,"2014-05-13 11:35:45","2014-05-13 11:35:45"
13,255,g,WATER,Water,2,100,"2014-05-13 11:35:45","2014-05-13 11:35:45"
14,257,g,,"Adjusted Protein",2,700,"2014-05-13 11:35:45","2014-05-13 11:35:45"
15,262,mg,CAFFN,Caffeine,0,18300,"2014-05-13 11:35:45","2014-05-13 11:35:45"
16,263,mg,THEBRN,Theobromine,0,18400,"2014-05-13 11:35:45","2014-05-13 11:35:45"
17,268,kJ,ENERC_KJ,Energy,0,400,"2014-05-13 11:35:45","2014-05-13 11:35:45"
18,269,g,SUGAR,"Sugars, total",2,1500,"2014-05-13 11:35:45","2014-05-13 11:35:45"
19,287,g,GALS,Galactose,2,2100,"2014-05-13 11:35:45","2014-05-13 11:35:45"
20,291,g,FIBTG,"Fiber, total dietary",1,1200,"2014-05-13 11:35:45","2014-05-13 11:35:45"
21,301,mg,CA,"Calcium, Ca",0,5300,"2014-05-13 11:35:45","2014-05-13 11:35:45"
22,303,mg,FE,"Iron, Fe",2,5400,"2014-05-13 11:35:45","2014-05-13 11:35:45"
23,304,mg,MG,"Magnesium, Mg",0,5500,"2014-05-13 11:35:45","2014-05-13 11:35:45"
24,305,mg,P,"Phosphorus, P",0,5600,"2014-05-13 11:35:45","2014-05-13 11:35:45"
25,306,mg,K,"Potassium, K",0,5700,"2014-05-13 11:35:45","2014-05-13 11:35:45"
26,307,mg,NA,"Sodium, Na",0,5800,"2014-05-13 11:35:45","2014-05-13 11:35:45"
27,309,mg,ZN,"Zinc, Zn",2,5900,"2014-05-13 11:35:45","2014-05-13 11:35:45"
28,312,mg,CU,"Copper, Cu",3,6000,"2014-05-13 11:35:46","2014-05-13 11:35:46"
29,313,mcg,FLD,"Fluoride, F",1,6240,"2014-05-13 11:35:46","2014-05-13 11:35:46"
30,315,mg,MN,"Manganese, Mn",3,6100,"2014-05-13 11:35:46","2014-05-13 11:35:46"
31,317,mcg,SE,"Selenium, Se",1,6200,"2014-05-13 11:35:46","2014-05-13 11:35:46"
32,318,IU,VITA_IU,"Vitamin A, IU",0,7500,"2014-05-13 11:35:46","2014-05-13 11:35:46"
33,319,mcg,RETOL,Retinol,0,7430,"2014-05-13 11:35:46","2014-05-13 11:35:46"
34,320,mcg_RAE,VITA_RAE,"Vitamin A, RAE",0,7420,"2014-05-13 11:35:46","2014-05-13 11:35:46"
35,321,mcg,CARTB,"Carotene, beta",0,7440,"2014-05-13 11:35:46","2014-05-13 11:35:46"
36,322,mcg,CARTA,"Carotene, alpha",0,7450,"2014-05-13 11:35:46","2014-05-13 11:35:46"
37,323,mg,TOCPHA,"Vitamin E (alpha-tocopherol)",2,7900,"2014-05-13 11:35:46","2014-05-13 11:35:46"
38,324,IU,VITD,"Vitamin D",0,8750,"2014-05-13 11:35:46","2014-05-13 11:35:46"
39,325,mcg,ERGCAL,"Vitamin D2 (ergocalciferol)",1,8710,"2014-05-13 11:35:46","2014-05-13 11:35:46"
40,326,mcg,CHOCAL,"Vitamin D3 (cholecalciferol)",1,8720,"2014-05-13 11:35:46","2014-05-13 11:35:46"
41,328,mcg,VITD,"Vitamin D (D2 + D3)",1,8700,"2014-05-13 11:35:46","2014-05-13 11:35:46"
42,334,mcg,CRYPX,"Cryptoxanthin, beta",0,7460,"2014-05-13 11:35:46","2014-05-13 11:35:46"
43,337,mcg,LYCPN,Lycopene,0,7530,"2014-05-13 11:35:47","2014-05-13 11:35:47"
44,338,mcg,LUT+ZEA,"Lutein + zeaxanthin",0,7560,"2014-05-13 11:35:47","2014-05-13 11:35:47"
45,341,mg,TOCPHB,"Tocopherol, beta",2,8000,"2014-05-13 11:35:47","2014-05-13 11:35:47"
46,342,mg,TOCPHG,"Tocopherol, gamma",2,8100,"2014-05-13 11:35:47","2014-05-13 11:35:47"
47,343,mg,TOCPHD,"Tocopherol, delta",2,8200,"2014-05-13 11:35:47","2014-05-13 11:35:47"
48,401,mg,VITC,"Vitamin C, total ascorbic acid",1,6300,"2014-05-13 11:35:47","2014-05-13 11:35:47"
49,404,mg,THIA,Thiamin,3,6400,"2014-05-13 11:35:47","2014-05-13 11:35:47"
50,405,mg,RIBF,Riboflavin,3,6500,"2014-05-13 11:35:47","2014-05-13 11:35:47"
51,406,mg,NIA,Niacin,3,6600,"2014-05-13 11:35:47","2014-05-13 11:35:47"
52,410,mg,PANTAC,"Pantothenic acid",3,6700,"2014-05-13 11:35:47","2014-05-13 11:35:47"
53,415,mg,VITB6A,"Vitamin B-6",3,6800,"2014-05-13 11:35:47","2014-05-13 11:35:47"
54,417,mcg,FOL,"Folate, total",0,6900,"2014-05-13 11:35:47","2014-05-13 11:35:47"
55,418,mcg,VITB12,"Vitamin B-12",2,7300,"2014-05-13 11:35:47","2014-05-13 11:35:47"
56,421,mg,CHOLN,"Choline, total",1,7220,"2014-05-13 11:35:47","2014-05-13 11:35:47"
57,430,mcg,VITK,"Vitamin K (phylloquinone)",1,8800,"2014-05-13 11:35:47","2014-05-13 11:35:47"
58,431,mcg,FOLAC,"Folic acid",0,7000,"2014-05-13 11:35:48","2014-05-13 11:35:48"
59,432,mcg,FOLFD,"Folate, food",0,7100,"2014-05-13 11:35:48","2014-05-13 11:35:48"
60,435,mcg_DFE,FOLDFE,"Folate, DFE",0,7200,"2014-05-13 11:35:48","2014-05-13 11:35:48"
61,454,mg,BETN,Betaine,1,7270,"2014-05-13 11:35:48","2014-05-13 11:35:48"
62,501,g,TRP_G,Tryptophan,3,16300,"2014-05-13 11:35:48","2014-05-13 11:35:48"
63,502,g,THR_G,Threonine,3,16400,"2014-05-13 11:35:48","2014-05-13 11:35:48"
64,503,g,ILE_G,Isoleucine,3,16500,"2014-05-13 11:35:48","2014-05-13 11:35:48"
65,504,g,LEU_G,Leucine,3,16600,"2014-05-13 11:35:48","2014-05-13 11:35:48"
66,505,g,LYS_G,Lysine,3,16700,"2014-05-13 11:35:48","2014-05-13 11:35:48"
67,506,g,MET_G,Methionine,3,16800,"2014-05-13 11:35:48","2014-05-13 11:35:48"
68,507,g,CYS_G,Cystine,3,16900,"2014-05-13 11:35:48","2014-05-13 11:35:48"
69,508,g,PHE_G,Phenylalanine,3,17000,"2014-05-13 11:35:48","2014-05-13 11:35:48"
70,509,g,TYR_G,Tyrosine,3,17100,"2014-05-13 11:35:48","2014-05-13 11:35:48"
71,510,g,VAL_G,Valine,3,17200,"2014-05-13 11:35:48","2014-05-13 11:35:48"
72,511,g,ARG_G,Arginine,3,17300,"2014-05-13 11:35:48","2014-05-13 11:35:48"
73,512,g,HISTN_G,Histidine,3,17400,"2014-05-13 11:35:49","2014-05-13 11:35:49"
74,513,g,ALA_G,Alanine,3,17500,"2014-05-13 11:35:49","2014-05-13 11:35:49"
75,514,g,ASP_G,"Aspartic acid",3,17600,"2014-05-13 11:35:49","2014-05-13 11:35:49"
76,515,g,GLU_G,"Glutamic acid",3,17700,"2014-05-13 11:35:49","2014-05-13 11:35:49"
77,516,g,GLY_G,Glycine,3,17800,"2014-05-13 11:35:49","2014-05-13 11:35:49"
78,517,g,PRO_G,Proline,3,17900,"2014-05-13 11:35:49","2014-05-13 11:35:49"
79,518,g,SER_G,Serine,3,18000,"2014-05-13 11:35:49","2014-05-13 11:35:49"
80,521,g,HYP,Hydroxyproline,3,18100,"2014-05-13 11:35:49","2014-05-13 11:35:49"
81,573,mg,,"Vitamin E, added",2,7920,"2014-05-13 11:35:49","2014-05-13 11:35:49"
82,578,mcg,,"Vitamin B-12, added",2,7340,"2014-05-13 11:35:49","2014-05-13 11:35:49"
83,601,mg,CHOLE,Cholesterol,0,15700,"2014-05-13 11:35:49","2014-05-13 11:35:49"
84,605,g,FATRN,"Fatty acids, total trans",3,15400,"2014-05-13 11:35:49","2014-05-13 11:35:49"
85,606,g,FASAT,"Fatty acids, total saturated",3,9700,"2014-05-13 11:35:49","2014-05-13 11:35:49"
86,607,g,F4D0,4:0,3,9800,"2014-05-13 11:35:49","2014-05-13 11:35:49"
87,608,g,F6D0,6:0,3,9900,"2014-05-13 11:35:50","2014-05-13 11:35:50"
88,609,g,F8D0,8:0,3,10000,"2014-05-13 11:35:50","2014-05-13 11:35:50"
89,610,g,F10D0,10:0,3,10100,"2014-05-13 11:35:50","2014-05-13 11:35:50"
90,611,g,F12D0,12:0,3,10300,"2014-05-13 11:35:50","2014-05-13 11:35:50"
91,612,g,F14D0,14:0,3,10500,"2014-05-13 11:35:50","2014-05-13 11:35:50"
92,613,g,F16D0,16:0,3,10700,"2014-05-13 11:35:50","2014-05-13 11:35:50"
93,614,g,F18D0,18:0,3,10900,"2014-05-13 11:35:50","2014-05-13 11:35:50"
94,615,g,F20D0,20:0,3,11100,"2014-05-13 11:35:50","2014-05-13 11:35:50"
95,617,g,F18D1,"18:1 undifferentiated",3,12100,"2014-05-13 11:35:50","2014-05-13 11:35:50"
96,618,g,F18D2,"18:2 undifferentiated",3,13100,"2014-05-13 11:35:50","2014-05-13 11:35:50"
97,619,g,F18D3,"18:3 undifferentiated",3,13900,"2014-05-13 11:35:50","2014-05-13 11:35:50"
98,620,g,F20D4,"20:4 undifferentiated",3,14700,"2014-05-13 11:35:50","2014-05-13 11:35:50"
